x_nm,y_nm,abs_ez_squared,in_particle_re
-111.72000000000001,720.0,3.6180888768444454e-14,False
-117.60000000000001,759.9999999999999,5.225769196663738e-14,False
-111.72000000000001,760.0,5.229624704596254e-14,False
-117.60000000000001,800.0,1.8951639601543226e-12,False
-111.72000000000003,800.0,1.8967200063386976e-12,False
-129.35999999999999,639.9999999999999,6.894079994972788e-16,False
-123.48,639.9999999999999,6.894482968478711e-16,False
-129.36,680.0,9.960768073791084e-16,False
-123.48,680.0,9.962451607032015e-16,False
-147.0,560.0,1.3088782758011854e-17,False
-141.12,560.0,1.3123843559519577e-17,False
-135.24,560.0,1.3124734674053361e-17,False
-147.0,599.9999999999999,1.900989838478638e-17,False
-141.11999999999998,599.9999999999999,1.9048656584600913e-17,False
-135.23999999999998,599.9999999999999,1.904055747385772e-17,False
5.879999999999934,720.0,3.6069715349886644e-14,False
11.75999999999996,720.0,3.604584912797358e-14,False
5.879999999999937,760.0,5.2150006971190846e-14,False
11.759999999999962,759.9999999999999,5.211133401239193e-14,False
5.879999999999939,800.0,1.892263688420119e-12,False
11.759999999999962,800.0,1.890498218226899e-12,False
17.63999999999999,639.9999999999999,6.873065283703547e-16,False
23.519999999999985,639.9999999999999,6.871701932894947e-16,False
17.63999999999999,680.0,9.92816883132126e-16,False
23.51999999999999,680.0,9.925365671104007e-16,False
29.400000000000002,559.9999999999999,1.3082013657371847e-17,False
35.28,559.9999999999999,1.3081747720956392e-17,False
29.39999999999999,599.9999999999999,1.891473088920261e-17,False
35.279999999999994,600.0,1.8940989083148203e-17,False
41.15999999999999,480.0,2.5044961648851793e-19,False
47.03999999999997,480.0,2.508044066762323e-19,False
41.15999999999999,519.9999999999999,3.5862640282303654e-19,False
47.03999999999997,519.9999999999999,3.58375183814783e-19,False
52.91999999999996,399.99999999999994,4.7517903142620626e-21,False
58.79999999999995,399.99999999999994,4.7496629090541455e-21,False
52.91999999999995,439.99999999999994,6.801383317320791e-21,False
58.79999999999994,439.99999999999994,6.804790136591324e-21,False
64.67999999999994,320.0,8.879050059605495e-23,False
70.55999999999996,320.0,8.957383799854211e-23,False
64.67999999999994,360.0,1.3551197498073771e-22,False
70.55999999999996,360.0,1.3309062706706125e-22,False
76.43999999999996,240.0,1.7264408914793613e-24,False
82.31999999999995,240.0,1.679719009239908e-24,False
76.43999999999996,280.00000000000006,2.503602919999493e-24,False
82.31999999999995,280.00000000000006,2.5392741014708886e-24,False
88.19999999999996,159.99999999999997,3.1748487283532215e-26,False
94.07999999999991,159.99999999999997,3.1383797620781764e-26,False
88.19999999999995,200.00000000000003,5.620253803760002e-26,False
94.07999999999991,200.00000000000003,5.899277433805775e-26,False
99.95999999999992,79.99999999999999,1.0746711202858502e-27,False
105.83999999999999,79.99999999999997,1.0457116949128472e-27,False
99.95999999999991,119.99999999999997,3.8263497349855703e-28,False
105.83999999999995,119.99999999999994,4.063332834744686e-28,False
111.72000000000003,0.0,0.0,False
117.60000000000001,0.0,0.0,False
111.72000000000004,39.999999999999986,1.1894857115010794e-29,False
117.60000000000001,39.99999999999999,1.1326322543622692e-29,False
-105.84000000000002,719.9999999999999,3.618351178795509e-14,False
-99.96000000000004,719.9999999999998,3.620012369804862e-14,False
-105.84000000000003,759.9999999999999,5.231645670113729e-14,False
-99.96000000000004,759.9999999999999,5.23452870975294e-14,False
-105.84000000000003,800.0,1.8964787828529253e-12,False
-99.96000000000004,800.0,1.8979912182613986e-12,False
-117.60000000000001,639.9999999999999,6.903159342332285e-16,False
-111.72000000000001,639.9999999999999,6.904553942253454e-16,False
-117.60000000000001,680.0,9.972651872595737e-16,False
-111.72000000000001,680.0,9.975209381402213e-16,False
-129.36,559.9999999999999,1.3145452367748672e-17,False
-123.48,559.9999999999999,1.314423248374775e-17,False
-129.36,599.9999999999999,1.904287036821514e-17,False
-123.48,599.9999999999999,1.9015829016024923e-17,False
