Wavel.[nm]  	MAT._REFRACTIVE_INDEX  	MAT._ABSORPTION    
1098.099	2.0670	0.0000
1099.230	2.0670	0.0000
1100.360	2.0669	0.0000
1101.491	2.0669	0.0000
1102.621	2.0669	0.0000
1103.752	2.0669	0.0000
1104.882	2.0668	0.0000
1106.013	2.0668	0.0000
1107.144	2.0668	0.0000
1108.274	2.0668	0.0000
1109.405	2.0667	0.0000
1110.535	2.0667	0.0000
1111.666	2.0667	0.0000
1112.796	2.0667	0.0000
1113.927	2.0667	0.0000
1115.058	2.0666	0.0000
1116.188	2.0666	0.0000
1117.319	2.0666	0.0000
1118.449	2.0666	0.0000
1119.580	2.0665	0.0000
1120.710	2.0665	0.0000
1121.841	2.0665	0.0000
1122.971	2.0665	0.0000
1124.102	2.0665	0.0000
1125.233	2.0664	0.0000
1126.363	2.0664	0.0000
1127.494	2.0664	0.0000
1128.624	2.0664	0.0000
1129.755	2.0663	0.0000
1130.885	2.0663	0.0000
1132.016	2.0663	0.0000
1133.147	2.0663	0.0000
1134.277	2.0663	0.0000
1135.408	2.0662	0.0000
1136.538	2.0662	0.0000
1137.669	2.0662	0.0000
1138.799	2.0662	0.0000
1139.930	2.0661	0.0000
1141.061	2.0661	0.0000
1142.191	2.0661	0.0000
1143.322	2.0661	0.0000
1144.452	2.0661	0.0000
1145.583	2.0660	0.0000
1146.713	2.0660	0.0000
1147.844	2.0660	0.0000
1148.974	2.0660	0.0000
1150.105	2.0660	0.0000
1151.236	2.0659	0.0000
1152.366	2.0659	0.0000
1153.497	2.0659	0.0000
1154.627	2.0659	0.0000
1155.758	2.0659	0.0000
1156.888	2.0658	0.0000
1158.019	2.0658	0.0000
1159.150	2.0658	0.0000
1160.280	2.0658	0.0000
1161.411	2.0658	0.0000
1162.541	2.0657	0.0000
1163.672	2.0657	0.0000
1164.802	2.0657	0.0000
1165.933	2.0657	0.0000
1167.064	2.0657	0.0000
1168.194	2.0656	0.0000
1169.325	2.0656	0.0000
1170.455	2.0656	0.0000
1171.586	2.0656	0.0000
1172.716	2.0656	0.0000
1173.847	2.0655	0.0000
1174.977	2.0655	0.0000
1176.108	2.0655	0.0000
1177.239	2.0655	0.0000
1178.369	2.0655	0.0000
1179.500	2.0654	0.0000
1180.630	2.0654	0.0000
1181.761	2.0654	0.0000
1182.891	2.0654	0.0000
1184.022	2.0654	0.0000
1185.153	2.0653	0.0000
1186.283	2.0653	0.0000
1187.414	2.0653	0.0000
1188.544	2.0653	0.0000
1189.675	2.0653	0.0000
1190.805	2.0652	0.0000
1191.936	2.0652	0.0000
1193.067	2.0652	0.0000
1194.197	2.0652	0.0000
1195.328	2.0652	0.0000
1196.458	2.0652	0.0000
1197.589	2.0651	0.0000
1198.719	2.0651	0.0000
1199.850	2.0651	0.0000
1200.980	2.0651	0.0000
1202.111	2.0651	0.0000
1203.242	2.0650	0.0000
1204.372	2.0650	0.0000
1205.503	2.0650	0.0000
1206.633	2.0650	0.0000
1207.764	2.0650	0.0000
1208.894	2.0650	0.0000
1210.025	2.0649	0.0000
1211.156	2.0649	0.0000
1212.286	2.0649	0.0000
1213.417	2.0649	0.0000
1214.547	2.0649	0.0000
1215.678	2.0648	0.0000
1216.808	2.0648	0.0000
1217.939	2.0648	0.0000
1219.070	2.0648	0.0000
1220.200	2.0648	0.0000
1221.331	2.0648	0.0000
1222.461	2.0647	0.0000
1223.592	2.0647	0.0000
1224.722	2.0647	0.0000
1225.853	2.0647	0.0000
1226.983	2.0647	0.0000
1228.114	2.0647	0.0000
1229.245	2.0646	0.0000
1230.375	2.0646	0.0000
1231.506	2.0646	0.0000
1232.636	2.0646	0.0000
1233.767	2.0646	0.0000
1234.897	2.0646	0.0000
1236.028	2.0645	0.0000
1237.159	2.0645	0.0000
1238.289	2.0645	0.0000
1239.420	2.0645	0.0000
1240.550	2.0645	0.0000
1241.681	2.0645	0.0000
1242.811	2.0644	0.0000
1243.942	2.0644	0.0000
1245.073	2.0644	0.0000
1246.203	2.0644	0.0000
1247.334	2.0644	0.0000
1248.464	2.0644	0.0000
1249.595	2.0643	0.0000
1250.725	2.0643	0.0000
1251.856	2.0643	0.0000
1252.986	2.0643	0.0000
1254.117	2.0643	0.0000
1255.248	2.0643	0.0000
1256.378	2.0642	0.0000
1257.509	2.0642	0.0000
1258.639	2.0642	0.0000
1259.770	2.0642	0.0000
1260.900	2.0642	0.0000
1262.031	2.0642	0.0000
1263.162	2.0642	0.0000
1264.292	2.0641	0.0000
1265.423	2.0641	0.0000
1266.553	2.0641	0.0000
1267.684	2.0641	0.0000
1268.814	2.0641	0.0000
1269.945	2.0641	0.0000
1271.076	2.0640	0.0000
1272.206	2.0640	0.0000
1273.337	2.0640	0.0000
1274.467	2.0640	0.0000
1275.598	2.0640	0.0000
1276.728	2.0640	0.0000
1277.859	2.0640	0.0000
1278.989	2.0639	0.0000
1280.120	2.0639	0.0000
1281.251	2.0639	0.0000
1282.381	2.0639	0.0000
1283.512	2.0639	0.0000
1284.642	2.0639	0.0000
1285.773	2.0638	0.0000
1286.903	2.0638	0.0000
1288.034	2.0638	0.0000
1289.165	2.0638	0.0000
1290.295	2.0638	0.0000
1291.426	2.0638	0.0000
1292.556	2.0638	0.0000
1293.687	2.0637	0.0000
1294.817	2.0637	0.0000
1295.948	2.0637	0.0000
1297.079	2.0637	0.0000
1298.209	2.0637	0.0000
1299.340	2.0637	0.0000
1300.470	2.0637	0.0000
1301.601	2.0636	0.0000
1302.731	2.0636	0.0000
1303.862	2.0636	0.0000
1304.992	2.0636	0.0000
1306.123	2.0636	0.0000
1307.254	2.0636	0.0000
1308.384	2.0636	0.0000
1309.515	2.0635	0.0000
1310.645	2.0635	0.0000
1311.776	2.0635	0.0000
1312.906	2.0635	0.0000
1314.037	2.0635	0.0000
1315.168	2.0635	0.0000
1316.298	2.0635	0.0000
1317.429	2.0634	0.0000
1318.559	2.0634	0.0000
1319.690	2.0634	0.0000
1320.820	2.0634	0.0000
1321.951	2.0634	0.0000
1323.082	2.0634	0.0000
1324.212	2.0634	0.0000
1325.343	2.0634	0.0000
1326.473	2.0633	0.0000
1327.604	2.0633	0.0000
