period_nm,fill,ridge_width_nm,taper_deg,top_gap_nm,bottom_gap_nm,min_gap_nm,remaining_air_gap_nm,kx_norm,mode_index,freq_thz_real,freq_thz_imag,wavelength_nm,q_value,score
569.3,0.6564623221500088,373.724,2.0,195.57599999999996,174.62353830495135,174.62353830495135,142.62353830495135,0.0,4,313.9793962614285,2.1895960324944325e-09,954.8157030991421,71698019087.04976,25.18429690085793
569.3,0.6652450377656772,378.724,2.0,190.57599999999996,169.62353830495135,169.62353830495135,137.62353830495135,0.0,2,312.4344790863655,9.623880070233888e-09,959.5370487811273,16232251275.278645,20.462951218872718
569.3,0.6740277533813456,383.724,2.0,185.57599999999996,164.62353830495135,164.62353830495135,132.62353830495135,0.0,1,310.93727162870135,1.604892802037397e-09,964.157356979675,96871663712.98111,15.842643020325
569.3,0.6828104689970139,388.724,2.0,180.57599999999996,159.62353830495135,159.62353830495135,127.62353830495135,0.0,1,309.4966625319322,8.864492135419118e-09,968.6452045959269,17457100632.719948,11.354795404073116
569.3,0.6915931846126823,393.724,2.0,175.57599999999996,154.62353830495135,154.62353830495135,122.62353830495135,0.0,1,308.108486205124,5.721043950039023e-09,973.0094152629487,26927645452.105156,6.990584737051336
559.3,0.6681995351332023,373.724,-2.0,185.57599999999996,206.52846169504858,185.57599999999996,153.57599999999996,0.0,8,302.18356407551005,0.2760860991510924,992.087239811254,547.2632722267836,74.70527678249599
559.3,0.6771392812444127,378.724,-2.0,180.57599999999996,201.52846169504858,180.57599999999996,148.57599999999996,0.0,8,302.1835640688232,0.27608619274894797,992.0872398332075,547.2630866832342,74.70527827687705
559.3,0.6860790273556231,383.724,-2.0,175.57599999999996,196.52846169504858,175.57599999999996,143.57599999999996,0.0,8,310.00250460041025,1.9027682074746477e-10,967.0646319016975,814609218775.6418,12.935368098302547
559.3,0.6950187734668336,388.724,-2.0,170.57599999999996,191.52846169504858,170.57599999999996,138.57599999999996,0.0,4,308.828511820023,4.3297283444640304e-10,970.7408692067622,356637284432.50903,9.259130793237773
559.3,0.703958519578044,393.724,-2.0,165.57599999999996,186.52846169504858,165.57599999999996,133.57599999999996,0.0,2,307.7065199850912,9.259830398186491e-10,974.2804865315346,166151272082.34534,5.7195134684653794
562.3,0.6646345367241686,373.724,-2.0,188.57599999999996,209.52846169504858,188.57599999999996,156.57599999999996,0.0,8,300.5728786646254,0.27757579187846326,997.4035559425965,541.4248782837508,80.0681738668716
562.3,0.6735265872310155,378.724,-2.0,183.57599999999996,204.52846169504858,183.57599999999996,151.57599999999996,0.0,5,310.2863034550558,9.018756089762438e-10,966.180120301134,172022782502.83017,13.819879698865975
562.3,0.6824186377378624,383.724,-2.0,178.57599999999996,199.52846169504858,178.57599999999996,146.57599999999996,0.0,1,309.04832803266174,4.4586416410166396e-10,970.0504122071046,346572289180.65045,9.949587792895386
562.3,0.6913106882447093,388.724,-2.0,173.57599999999996,194.52846169504858,173.57599999999996,141.57599999999996,0.0,1,307.8653191543262,1.6726062828451014e-10,973.7779455753526,920316162601.7799,6.222054424647354
562.3,0.7002027387515561,393.724,-2.0,168.57599999999996,189.52846169504858,168.57599999999996,136.57599999999996,0.0,1,306.7334922988685,3.5488286005772613e-10,977.3711235546934,432161604323.43005,2.6288764453065596
564.3,0.6622789296473507,373.724,-2.0,190.57599999999996,211.52846169504858,190.57599999999996,158.57599999999996,0.0,3,310.9611711386534,7.341783046210012e-10,964.0832548393205,211774966095.72134,15.916745160679511
564.3,0.6711394648236754,378.724,-2.0,185.57599999999996,206.52846169504858,185.57599999999996,153.57599999999996,0.0,1,309.6630206580752,4.400337897579015e-10,968.1248260218513,351862774934.2228,11.875173978148723
564.3,0.68,383.724,-2.0,180.57599999999996,201.52846169504858,180.57599999999996,148.57599999999996,0.0,1,308.4194917769928,3.5801720754976224e-10,972.0282472184647,430732776627.9563,7.971752781535315
564.3,0.6888605351763247,388.724,-2.0,175.57599999999996,196.52846169504858,175.57599999999996,143.57599999999996,0.0,1,307.2307059077871,5.444254630079243e-10,975.7893733772182,282160485487.1706,4.210626622781774
564.3,0.6977210703526493,393.724,-2.0,170.57599999999996,191.52846169504858,170.57599999999996,138.57599999999996,0.0,1,306.09277674581693,9.2402595697399e-10,979.4169636644225,165629966580.27487,0.5830363355775035
