source,design_id,family,lambda980_nm,q980,lambda451_nm,q451,min_feature_nm,min_gap_nm,dual_score
wide_shallow_groove_scan_2d.csv,groove_P556_f0p75_gw180_gd120,wide_shallow_groove_1d,979.8377780795613,27.30329805879898,452.09393904983335,28.92991359350133,118.5,139.0,61.51948857375031
coarse_scan_2d.csv,hybrid_451_980_P300_560,hybrid_451_980_supercell,975.5265778525486,51.13581405021861,448.9558900797705,2063.4716367526003,147.5,147.5,61.77148398206826
coarse_scan_2d.csv,hybrid_451_980_P294_554,hybrid_451_980_supercell,981.5372406876154,41.52060340073913,452.1631332356943,60.32031846609862,137.5,137.5,61.78791451379589
coarse_scan_2d.csv,dimer_P420_dP120,dimerized_pitch_grating,981.7936441048058,59.32302083705377,448.2631246883082,106.010805827061,159.59999999999997,159.59999999999997,61.81020017234824
fine_scan_2d.csv,fine_primitive_P564_f0p74,primitive_1d_grating_fine,980.7182478316946,9.803899775777419,453.4951796133738,620.5703408422073,146.64,146.64,61.82071917540588
wide_shallow_groove_scan_2d.csv,groove_P556_f0p75_gw180_gd180,wide_shallow_groove_1d,979.8377780795286,27.30329805885021,452.12918114969057,24.180771960945233,118.5,139.0,61.86623857408918
coarse_scan_2d.csv,primitive_P840_f0p68,primitive_1d_grating,978.2423541137488,60.48408334679928,447.5579649077019,141.34768204321003,268.79999999999995,268.79999999999995,61.88468437894076
wide_shallow_groove_scan_2d.csv,groove_P556_f0p75_gw160_gd120,wide_shallow_groove_1d,979.8377780795544,27.303298058790137,452.35471636420993,27.096452418501446,120.0,139.0,61.89400469447514
fine_scan_2d.csv,fine_primitive_P560_f0p70,primitive_1d_grating_fine,980.8727420188105,16.574285889730625,446.7962978268429,708.3836520745785,168.0,168.0,62.01206831046025
wide_shallow_groove_scan_2d.csv,groove_P556_f0p75_gw140_gd120,wide_shallow_groove_1d,979.8377780795468,27.303298058781202,452.459787050514,26.643352350988895,120.0,139.0,62.02836964756599
coarse_scan_2d.csv,dimer_P420_dW70,dimerized_same_pitch_grating,981.8988630116127,59.77402017351717,448.3527047663472,97.46648166737334,159.60000000000002,159.60000000000002,62.05401283922443
fine_scan_2d.csv,fine_primitive_P556_f0p70,primitive_1d_grating_fine,979.8377780794228,27.303298058795086,443.92642703951236,645.2597001564253,166.8,166.8,62.1055728627929
wide_shallow_groove_scan_2d.csv,groove_P550_f0p78_gw160_gd150,wide_shallow_groove_1d,975.276002897054,248.0435175595572,450.2644681641485,64.02913771494903,121.0,121.0,62.196320258183064
wide_shallow_groove_scan_2d.csv,groove_P550_f0p78_gw180_gd150,wide_shallow_groove_1d,975.2760028970549,248.04351755966064,450.1982554476243,65.4737054791856,121.0,121.0,62.223775905539334
wide_shallow_groove_scan_2d.csv,groove_P550_f0p78_gw140_gd150,wide_shallow_groove_1d,975.2760028970537,248.04351755945936,450.0696488633133,61.396743904026266,121.0,121.0,62.46406881372365
fine_scan_2d.csv,fine_primitive_P560_f0p78,primitive_1d_grating_fine,980.872742018815,16.574285889730515,451.2855972785546,55.50031667404483,123.19999999999999,123.19999999999999,62.517855691663726
coarse_scan_2d.csv,dimer_P420_dP80,dimerized_pitch_grating,982.3051026171679,61.59370955102778,449.26125720808045,64.8511786831843,159.59999999999997,159.59999999999997,62.57452200544044
coarse_scan_2d.csv,primitive_P840_f0p75,primitive_1d_grating,982.7648470605781,63.60673140813278,448.96799491097835,118.57012753158067,210.0,210.0,62.6412765103875
wide_shallow_groove_scan_2d.csv,groove_P556_f0p75_gw160_gd100,wide_shallow_groove_1d,979.837778079549,27.30329805875434,453.0615996404749,25.721885727359123,100.0,139.0,62.6913264925325
