x_nm,y_nm,abs_ez_squared,in_rare_earth_mask
234.12446808510637,320.0,3.5412327419135833e-15,False
240.12765957446808,320.00000000000006,7.220602253745485e-16,False
234.12446808510634,360.0,5.134626935059186e-15,False
240.12765957446803,360.0,4.644907020004724e-15,False
246.13085106382968,240.00000000000006,2.342588732656177e-15,False
252.13404255319145,240.0,2.126375112195556e-15,False
246.13085106382974,280.00000000000006,1.7573214263706528e-15,False
252.13404255319148,280.0,2.722841075601516e-15,False
258.13723404255313,159.99999999999994,4.145517548919399e-15,False
264.1404255319149,159.99999999999997,2.048372900622263e-15,False
258.1372340425532,199.99999999999994,5.80731900537889e-16,False
264.1404255319149,199.99999999999997,7.574266442564367e-16,False
270.1436170212766,79.99999999999999,1.5012368879976055e-15,False
276.14680851063827,79.99999999999999,2.1634235582427205e-15,False
282.1499999999999,79.99999999999999,1.0385090380122805e-15,False
270.1436170212766,119.99999999999997,4.297308654068069e-18,False
276.14680851063827,119.99999999999997,6.152839734836704e-16,False
282.1499999999999,119.99999999999997,2.4004466465689832e-15,False
162.08617021276595,720.0,4.503643282870037e-14,False
168.0893617021277,720.0,5.849595757240604e-14,False
162.08617021276595,760.0,3.9163985581404626e-14,False
168.0893617021277,759.9999999999999,3.247958919127274e-14,False
162.08617021276598,800.0,5.459278411820294e-13,False
168.0893617021277,800.0,6.087660703936674e-13,False
174.09255319148943,639.9999999999999,9.110211718514022e-14,False
180.09574468085114,639.9999999999999,8.315015056899659e-14,False
174.09255319148943,680.0,7.006803687011953e-14,False
180.09574468085114,679.9999999999999,6.550645789332928e-14,False
186.09893617021288,559.9999999999999,9.59725453084572e-16,False
192.1021276595746,560.0,5.216171793765059e-16,False
186.09893617021288,599.9999999999999,1.4549866263605196e-14,False
192.1021276595746,600.0,4.833808383994683e-15,False
198.1053191489363,480.0,1.2631471620807772e-15,False
204.10851063829804,480.0000000000001,4.5431747531888895e-16,False
198.10531914893633,520.0,2.658041398431964e-15,False
204.10851063829807,520.0,2.3967738090509425e-15,False
210.11170212765973,400.0,4.142922439415353e-15,False
216.1148936170214,400.0,2.8849499658244907e-15,False
210.11170212765975,440.00000000000006,1.2187036940108654e-15,False
216.1148936170214,439.99999999999994,1.1340854847490445e-15,False
222.118085106383,320.0,3.718546108791548e-15,False
228.1212765957447,320.0,4.9472427574753546e-15,False
222.11808510638303,360.0,1.579135505039687e-15,False
228.1212765957447,360.0,4.892776939345516e-15,False
234.12446808510637,240.00000000000006,4.655154672814447e-16,False
240.12765957446803,240.00000000000006,9.386298554456027e-16,False
234.12446808510637,280.00000000000006,3.087534835271222e-15,False
240.12765957446808,280.00000000000006,2.057150654267894e-15,False
246.1308510638298,159.99999999999997,2.395937407949479e-15,False
252.13404255319148,159.99999999999994,3.522775167650016e-15,False
246.13085106382974,200.00000000000003,9.196197733566373e-16,False
252.13404255319148,199.99999999999997,1.2102865583316263e-15,False
258.13723404255325,79.99999999999996,1.3569763334691747e-15,False
264.1404255319149,79.99999999999997,1.4611678230888105e-15,False
258.1372340425532,119.99999999999994,6.889322422668215e-16,False
264.1404255319149,119.99999999999994,2.3984366284963464e-16,False
270.14361702127667,0.0,0.0,False
276.14680851063827,0.0,0.0,False
282.1499999999999,0.0,0.0,False
270.1436170212766,39.99999999999999,3.5358815417045828e-15,False
276.14680851063827,39.99999999999999,3.365934612523417e-15,False
282.1499999999999,39.99999999999999,3.679176157530263e-15,False
150.07978723404256,720.0,1.5144067470078568e-14,False
156.08297872340424,720.0,3.5030574150136526e-14,False
150.07978723404256,760.0,4.009915916088052e-14,False
156.08297872340424,759.9999999999999,4.18030049175805e-14,False
150.07978723404256,800.0,3.150112480992247e-13,False
156.08297872340424,800.0,4.5125336249865906e-13,False
162.08617021276592,639.9999999999999,4.472566851339067e-14,False
168.08936170212766,639.9999999999999,7.896556210062332e-14,False
