design_id,period_nm,radius_nm,axis_gap_nm,kx_norm,ky_norm,mode_index,freq_thz_real,freq_thz_imag,wavelength_nm,q_value,particle_count,top_count,bottom_count,side_count,score
cyl_P360_G150,360.0,105.0,150.0,0.0,0.0,3,668.9681465561592,2.033125317818532,448.1416036672722,164.51719446244888,14,6,6,2,25.993551153494654
cyl_P360_G150,360.0,105.0,150.0,0.0,0.0,4,656.2615928727723,1.510266231366788,456.81853281656225,217.2668564134076,14,6,6,2,28.470558893785526
cyl_P360_G180,360.0,90.0,180.0,0.0,0.0,1,664.401963927252,7.391255480515901,451.22151088768527,44.945135889206036,14,6,6,2,25.61078009635881
cyl_P360_G180,360.0,90.0,180.0,0.0,0.0,2,664.2391088280524,7.363951854070311,451.3321393088968,45.10072322518679,14,6,6,2,25.715405284161935
cyl_P360_G180,360.0,90.0,180.0,0.0,0.0,3,661.7549371379306,2.499230304016911,453.02640173202633,132.39174798623378,14,6,6,2,25.538958067011322
cyl_P360_G180,360.0,90.0,180.0,0.0,0.0,4,655.6017318110618,0.12697106380455464,457.27831921956755,2581.6974047733556,14,6,6,2,24.630697866820913
fine_P250_G130,250.0,60.0,130.0,0.0,0.0,1,668.8264974468062,0.4495104978952213,448.2365144689014,743.9498082675551,10,4,4,2,23.27731098637603
fine_P250_G130,250.0,60.0,130.0,0.0,0.0,2,668.9743997119658,0.4542738819473999,448.1374147188276,736.3117562957602,10,4,4,2,23.394338342453896
fine_P250_G130,250.0,60.0,130.0,0.0,0.0,3,685.9549734644794,3.119641225869826e-05,437.0439308660018,10994132.398561629,10,4,4,2,17.791425283116062
fine_P250_G130,250.0,60.0,130.0,0.0,0.0,4,640.2357108819969,0.00012006677422770025,468.253258767778,2666165.2026555818,10,4,4,2,23.549710543987466
fine_P250_G140,250.0,55.0,140.0,0.0,0.0,1,658.7773791825716,0.36549436611544206,455.07400143579673,901.2141366010763,11,5,4,2,24.254689453701907
fine_P250_G140,250.0,55.0,140.0,0.0,0.0,2,658.5386627662302,0.3705786274329805,455.2389631015804,888.5275809454603,11,5,4,2,24.44427944812369
fine_P250_G140,250.0,55.0,140.0,0.0,0.0,3,676.3181968291323,1.4316088544124462e-05,443.2713172668645,23620914.146507684,11,5,4,2,10.235495928678919
fine_P250_G140,250.0,55.0,140.0,0.0,0.0,4,688.2277066902057,6.420579863950982e-05,435.6006814107335,5359544.786245338,11,5,4,2,20.48280697170229
fine_P250_G150,250.0,50.0,150.0,0.0,0.0,1,666.6749539370213,4.7727542497903695e-05,449.6830970319014,6984174.32624258,11,5,4,2,5.940442684495053
fine_P250_G150,250.0,50.0,150.0,0.0,0.0,2,649.302925020681,0.24798693754262283,461.71431923004394,1309.1474322293323,11,5,4,2,30.246364997093348
fine_P250_G150,250.0,50.0,150.0,0.0,0.0,3,649.0542826516673,0.24503536048473218,461.8911946397121,1324.4094268021147,11,5,4,2,30.403105586566962
fine_P250_G150,250.0,50.0,150.0,0.0,0.0,4,682.7710958154504,7.047834605776846e-05,439.08194098631327,4843835.972369503,11,5,4,2,17.177301301154394
fine_P255_G135,255.0,60.0,135.0,0.0,0.0,1,671.2912995655606,7.275595566844799e-05,446.5907098662184,4613308.239841312,11,5,4,2,9.753240241305704
fine_P255_G135,255.0,60.0,135.0,0.0,0.0,2,654.2116837504807,0.47764086067731343,458.2499295661344,684.8363881837736,11,5,4,2,27.907582253572713
fine_P255_G135,255.0,60.0,135.0,0.0,0.0,3,653.8900519172121,0.4909920326227068,458.4753310147563,665.8866218504212,11,5,4,2,28.1817298560115
